ADM3_CODE,ADM2_CODE,ADM1_CODE,ADM0_CODE,ADM3_NAME,ADM2_NAME,ADM1_NAME,ADM0_NAME,ADM3_pop_WPOP20,RP5_pop_WPOP20_C4,RP5_pop_WPOP20_C3,RP5_pop_WPOP20_C2,RP5_pop_WPOP20_C1,RP5_pop_WPOP20_C0,RP5_pop_WPOP20_C4_EAE,RP5_pop_WPOP20_C3_EAE,RP5_pop_WPOP20_C2_EAE,RP5_pop_WPOP20_C1_EAE,RP5_pop_WPOP20_C0_EAE,RP20_pop_WPOP20_C4,RP20_pop_WPOP20_C3,RP20_pop_WPOP20_C2,RP20_pop_WPOP20_C1,RP20_pop_WPOP20_C0,RP20_pop_WPOP20_C4_EAE,RP20_pop_WPOP20_C3_EAE,RP20_pop_WPOP20_C2_EAE,RP20_pop_WPOP20_C1_EAE,RP20_pop_WPOP20_C0_EAE,RP100_pop_WPOP20_C4,RP100_pop_WPOP20_C3,RP100_pop_WPOP20_C2,RP100_pop_WPOP20_C1,RP100_pop_WPOP20_C0,RP100_pop_WPOP20_C4_EAE,RP100_pop_WPOP20_C3_EAE,RP100_pop_WPOP20_C2_EAE,RP100_pop_WPOP20_C1_EAE,RP100_pop_WPOP20_C0_EAE,pop_WPOP20_C4_EAE,pop_WPOP20_C3_EAE,pop_WPOP20_C2_EAE,pop_WPOP20_C1_EAE,pop_WPOP20_C0_EAE,pop_WPOP20_C4_EAE%,pop_WPOP20_C3_EAE%,pop_WPOP20_C2_EAE%,pop_WPOP20_C1_EAE%,pop_WPOP20_C0_EAE%
170301,1703,17,KHM,Khnar Sanday,Banteay Srei,Siemreap,Cambodia,8362.129,8362.13,8362.13,8362.13,8362.13,8362.13,1672.426,1672.426,1672.426,1672.426,1672.426,8362.13,8362.13,8362.13,8362.13,8362.13,1254.319,1254.319,1254.319,1254.319,1254.319,8362.13,8362.13,8362.13,8362.13,8362.13,334.485,334.485,334.485,334.485,334.485,3261.231,3261.231,3261.231,3261.231,3261.231,39.0,39.0,39.0,39.0,39.0
150103,1501,15,KHM,Khnar Totueng,Bakan,Pursat,Cambodia,4868.818,4738.044,4738.044,4738.044,4738.044,4738.044,947.609,947.609,947.609,947.609,947.609,4738.044,4738.044,4738.044,4738.044,4738.044,710.707,710.707,710.707,710.707,710.707,4738.044,4738.044,4738.044,4738.044,4738.044,189.522,189.522,189.522,189.522,189.522,1847.837,1847.837,1847.837,1847.837,1847.837,37.952,37.952,37.952,37.952,37.952
170705,1707,17,KHM,Khnat,Puok,Siemreap,Cambodia,11689.307,10894.629,10894.629,10894.629,10894.629,10894.629,2178.926,2178.926,2178.926,2178.926,2178.926,10894.629,10894.629,10894.629,10894.629,10894.629,1634.194,1634.194,1634.194,1634.194,1634.194,10894.629,10894.629,10894.629,10894.629,10894.629,435.785,435.785,435.785,435.785,435.785,4248.905,4248.905,4248.905,4248.905,4248.905,36.349,36.349,36.349,36.349,36.349
30301,303,3,KHM,Khnor Dambang,Cheung Prey,Kampong Cham,Cambodia,9024.874,8994.417,8994.417,8994.417,8994.417,8994.417,1798.883,1798.883,1798.883,1798.883,1798.883,8994.417,8994.417,8994.417,8994.417,8994.417,1349.163,1349.163,1349.163,1349.163,1349.163,8994.417,8994.417,8994.417,8994.417,8994.417,359.777,359.777,359.777,359.777,359.777,3507.823,3507.823,3507.823,3507.823,3507.823,38.868,38.868,38.868,38.868,38.868
40104,401,4,KHM,Khon Rang,Baribour,Kampong Chhnang,Cambodia,9634.555,9169.878,9169.878,9169.878,9169.878,9169.878,1833.976,1833.976,1833.976,1833.976,1833.976,9169.878,9169.878,9169.878,9169.878,9169.878,1375.482,1375.482,1375.482,1375.482,1375.482,9169.878,9169.878,9169.878,9169.878,9169.878,366.795,366.795,366.795,366.795,366.795,3576.252,3576.252,3576.252,3576.252,3576.252,37.119,37.119,37.119,37.119,37.119
81001,810,8,KHM,Khpob,S'ang,Kandal,Cambodia,10757.084,10524.531,10524.531,10524.531,10524.531,10524.531,2104.906,2104.906,2104.906,2104.906,2104.906,10524.531,10524.531,10524.531,10524.531,10524.531,1578.68,1578.68,1578.68,1578.68,1578.68,10524.531,10524.531,10524.531,10524.531,10524.531,420.981,420.981,420.981,420.981,420.981,4104.567,4104.567,4104.567,4104.567,4104.567,38.157,38.157,38.157,38.157,38.157
80503,805,8,KHM,Khpob Ateav,Leuk Daek,Kandal,Cambodia,4879.184,4820.663,4820.663,4820.663,4820.663,4820.663,964.133,964.133,964.133,964.133,964.133,4820.663,4820.663,4820.663,4820.663,4820.663,723.099,723.099,723.099,723.099,723.099,4820.663,4820.663,4820.663,4820.663,4820.663,192.827,192.827,192.827,192.827,192.827,1880.059,1880.059,1880.059,1880.059,1880.059,38.532,38.532,38.532,38.532,38.532
31504,315,3,KHM,Khpob Ta Nguon,Stueng Trang,Kampong Cham,Cambodia,4993.907,4993.907,4993.907,4993.907,4993.907,4993.907,998.781,998.781,998.781,998.781,998.781,4993.907,4993.907,4993.907,4993.907,4993.907,749.086,749.086,749.086,749.086,749.086,4993.907,4993.907,4993.907,4993.907,4993.907,199.756,199.756,199.756,199.756,199.756,1947.624,1947.624,1947.624,1947.624,1947.624,39.0,39.0,39.0,39.0,39.0
100106,1001,10,KHM,Khsach Andeth,Chhloung,Kratie,Cambodia,2910.5,2887.113,2887.113,2887.113,2887.113,2887.113,577.423,577.423,577.423,577.423,577.423,2887.113,2887.113,2887.113,2887.113,2887.113,433.067,433.067,433.067,433.067,433.067,2887.113,2887.113,2887.113,2887.113,2887.113,115.485,115.485,115.485,115.485,115.485,1125.974,1125.974,1125.974,1125.974,1125.974,38.687,38.687,38.687,38.687,38.687
200203,2002,20,KHM,Khsaetr,Kampong Rou,Svay Rieng,Cambodia,7783.727,7166.18,7166.18,7166.18,7166.18,7166.18,1433.236,1433.236,1433.236,1433.236,1433.236,7166.18,7166.18,7166.18,7166.18,7166.18,1074.927,1074.927,1074.927,1074.927,1074.927,7166.18,7166.18,7166.18,7166.18,7166.18,286.647,286.647,286.647,286.647,286.647,2794.81,2794.81,2794.81,2794.81,2794.81,35.906,35.906,35.906,35.906,35.906
